id,marker,x,y,z
0,0,0.0000000000000000,1.0000000000000000,1.6180339887498900
1,0,1.0000000000000000,1.6180339887498900,0.0000000000000000
2,0,1.6180339887498900,0.0000000000000000,1.0000000000000000
3,0,-1.0000000000000000,1.6180339887498900,0.0000000000000000
4,0,1.6180339887498900,0.0000000000000000,-1.0000000000000000
5,0,0.0000000000000000,-1.0000000000000000,1.6180339887498900
6,0,-1.6180339887498900,0.0000000000000000,1.0000000000000000
7,0,0.0000000000000000,1.0000000000000000,-1.6180339887498900
8,0,1.0000000000000000,-1.6180339887498900,0.0000000000000000
9,0,-1.6180339887498900,0.0000000000000000E+00,-1.0000000000000000
10,0,0.0000000000000000,-1.0000000000000000,-1.6180339887498900
11,0,-1.0000000000000000,-1.6180339887498900,0.0000000000000000
